name,type,value,date
福建,,331,2020/3/27
福建,,337,2020/3/28
福建,,338,2020/3/29
福建,,340,2020/3/30
福建,,343,2020/3/31
福建,,345,2020/4/1
福建,,345,2020/4/2
福建,,349,2020/4/3
福建,,350,2020/4/4
福建,,350,2020/4/5
福建,,350,2020/4/6
福建,,351,2020/4/7
福建,,351,2020/4/8
福建,,351,2020/4/9
福建,,351,2020/4/10
福建,,351,2020/4/11
福建,,352,2020/4/12
福建,,352,2020/4/13
福建,,353,2020/4/14
福建,,353,2020/4/15
福建,,353,2020/4/16
福建,,354,2020/4/17
福建,,355,2020/4/18
福建,,355,2020/4/19
福建,,355,2020/4/20
福建,,355,2020/4/21
